441,540,441,570,480,540,480,570,است،
420,540,420,570,435,540,435,570,از
389,540,389,570,414,540,414,570,این
363,540,363,570,383,540,383,570,رو
318,540,318,570,357,540,357,570,دانش
238,540,238,570,312,540,312,570,آموختگان
180,540,180,570,232,540,232,570,مدارس
139,540,139,570,174,540,174,570,دینی
104,540,104,570,133,540,133,570,باید
79,540,79,570,98,540,98,570,در
45,540,45,570,70,540,70,570,این
542,575,542,605,575,575,575,605,مسیر
526,575,526,605,537,575,537,605,با
471,575,471,605,521,575,521,605,صلابت
439,575,439,605,466,575,466,605,قدم
377,575,377,605,434,575,434,605,بردارند.
543,610,543,640,570,610,570,640,امام
497,610,497,640,533,610,533,640,جمعه
450,610,450,640,487,610,487,640,تبریز
429,610,429,640,440,610,440,640,با
378,610,378,640,419,610,419,640,تاکید
354,610,354,640,368,610,368,640,بر
284,610,284,640,344,610,344,640,ضرورت
201,610,201,640,274,610,274,640,خودسازی
125,610,125,640,191,610,191,640,روحانیت
77,610,77,640,115,610,115,640,گفت:
45,610,45,640,58,610,58,640,تا
531,645,531,675,572,645,572,675,زمانی
502,645,502,675,523,645,523,675,که
461,645,461,675,494,645,494,675,مبلغ
424,645,424,675,453,645,453,675,دین
383,645,383,675,416,645,416,675,خود
359,645,359,675,375,645,375,675,را
303,645,303,675,351,645,351,675,اصلاح
261,645,261,675,295,645,295,675,نکند
187,645,187,675,253,645,253,675,نمی‌تواند
160,645,160,675,179,645,179,675,در
100,645,100,675,152,645,152,675,راستای
45,645,45,675,93,645,93,675,اصلاح
535,680,535,710,575,680,575,710,جامعه
481,680,481,710,530,680,530,710,حرکت
441,680,441,710,476,680,476,710,موثر
398,680,398,710,436,680,436,710,داشته
356,680,356,710,393,680,393,710,باشد.
542,715,542,745,568,715,568,745,وی
519,715,519,745,530,715,530,745,با
478,715,478,745,507,715,507,745,بیان
422,715,422,745,466,715,466,745,این‌که
355,715,355,745,410,715,410,745,خداوند
305,715,305,745,343,715,343,745,متعال
262,715,262,745,293,715,293,745,ناظر
239,715,239,745,250,715,250,745,و
193,715,193,745,227,715,227,745,مردم
127,715,127,745,181,715,181,745,ارزیاب
45,715,45,745,113,715,113,745,رفتارهای
